Drone1_x,Drone1_y,Drone2_x,Drone2_y,Drone3_x,Drone3_y,Drone4_x,Drone4_y,Drone5_x,Drone5_y,Drone6_x,Drone6_y
977,-493,154,-1327,-762,386,1250,561,1105,-840,-185,-1090
200,82,761,-583,-297,577,452,901,1428,307,394,424
728,1106,252,1021,197,1634,852,307,1548,1506,906,-126
160,1047,1034,749,859,1580,1746,562,78,1389,1123,1076
1292,1933,611,305,391,682,-457,433,863,-30,-91,-159
-451,-207,1494,-16,1723,568,645,1484,1547,335,561,510
1334,354,722,53,713,-120,1200,-198,1127,624,-684,431
460,-740,1254,-861,1242,407,-836,311,70,-263,163,54
-201,-937,314,-1210,855,868,301,-303,-253,1218,321,58
-92,-220,1571,-513,1168,-15,569,-899,400,743,1823,1479
1130,-246,-840,330,-265,220,105,338,955,-151,1240,-244
1529,362,170,1753,1960,1238,916,890,797,1946,786,323
1939,1106,939,84,1264,356,-433,-887,449,186,929,227
746,-1018,82,-1167,1352,1039,-413,-900,-59,-1097,-977,1105
-28,-351,199,1118,1599,545,1998,1805,-502,-625,507,1740
1383,-142,780,1691,-168,1277,-601,223,1041,164,1794,1437
1490,-635,1931,1599,776,-411,-144,280,319,492,457,-16
1435,24,1577,1829,559,311,269,660,247,199,-183,299
651,881,1685,41,570,1009,1054,-30,689,977,1306,785
601,376,1159,0,1039,138,1639,-29,-11,139,3,-16
1179,1428,597,252,519,637,-4,1729,1922,650,732,1971
431,224,762,744,199,237,1631,1585,751,360,406,426
194,853,1078,-38,-320,455,754,747,1628,-17,839,114
1137,-342,1463,588,450,1280,1812,1015,841,580,731,1125
1442,-328,-364,1524,617,419,-632,397,112,290,881,425
1949,1554,-147,-495,816,1161,-496,846,305,379,1121,-244
1020,136,170,1909,1460,331,114,1387,1907,1684,759,216
1987,584,1165,1470,461,1382,92,1019,1380,1860,778,993
923,-665,1448,1881,294,-50,1965,99,500,-1100,1957,953
1269,-480,-314,-718,280,516,1957,1564,2150,994,502,-1047
986,901,747,2092,1352,-7,649,-1107,1516,1935,701,1416
1615,1807,683,200,1249,1936,1066,-871,605,-269,336,-1157
1573,1571,295,-810,1724,1463,1011,814,-355,-705,-67,-1074
1241,-120,433,-555,1481,783,13,-285,629,404,1290,725
57,-141,1749,1564,512,-366,1119,417,1251,755,-614,602
51,654,-185,1311,651,749,1668,414,338,225,104,-84
956,-1093,835,-1059,327,306,1924,889,40,1812,-527,-756
-1,1405,1326,1892,974,-964,1049,1910,-224,-665,965,-1035
353,201,1567,472,1203,850,608,204,518,407,1448,156
349,-870,19,29,608,-1110,1313,-643,1959,1349,56,-1109
393,182,382,263,570,-45,1569,684,228,-102,810,136
1791,90,287,41,818,595,649,-95,66,-521,1624,1799
829,-40,-77,597,-132,134,1855,137,2031,2050,-950,237
-548,1279,1832,1457,933,1600,1364,-316,1837,1706,1116,901
352,-1209,1162,-712,-299,-586,120,-1183,1070,-991,1755,1144
692,-131,-383,187,606,1869,630,-839,1405,1799,95,374
1059,176,674,9,381,353,660,519,966,1889,1290,420
320,153,1723,1953,735,-29,144,200,1903,942,480,810
43,1332,441,1483,853,783,1092,274,1437,328,1345,1214
226,-1086,1016,-1000,927,282,-174,1505,810,699,1688,-302
-506,602,1887,1255,546,4,985,277,878,-105,1769,296
-856,657,1165,1924,1226,693,1195,8,1999,1087,631,654
485,-255,-385,-420,459,-379,1294,-590,1387,-136,1929,1216
689,526,691,16,667,193,1947,1458,246,59,1026,405
730,-26,159,526,1199,-32,485,1010,-43,163,926,112
75,277,338,953,1507,990,1553,500,343,278,-1,642
-526,279,1960,95,-1069,-170,-515,1636,1916,296,1296,-489
222,-35,297,-513,848,457,1514,1991,342,803,554,476
1479,737,457,-1384,-274,-450,840,-1583,-515,1483,237,748
858,5,1818,984,1326,-98,82,65,12,270,1770,143
1248,683,980,923,1427,429,-64,-242,1608,1645,785,-117
404,-47,808,1848,409,756,-339,828,1998,1773,443,132
1204,-889,-877,751,1092,-171,1072,-444,885,1655,15,201
1448,357,982,586,251,1043,989,247,1007,314,1305,1074
-405,455,1320,-325,-59,1041,34,264,1301,240,1969,1688
1503,49,1700,160,422,933,423,347,-44,610,284,556
1607,-297,1622,1731,1086,1787,1086,956,807,-257,1191,-163
1404,1732,-93,1484,946,-341,-155,-861,1316,652,1100,1617
1237,1359,-462,1274,-80,-1176,1358,105,551,-978,1266,-920
795,-42,409,1211,592,-179,-193,154,1057,-159,1731,-254
555,442,329,64,1369,285,1546,416,852,751,378,986
-66,451,-675,631,657,-506,1141,479,-402,-690,1540,-192
326,281,526,586,656,1888,1527,1398,42,330,1583,1285
670,111,742,216,877,155,-398,140,412,412,1397,936
-341,1476,605,-433,1491,849,-247,65,1237,-754,751,-1079
1092,1889,591,-128,1421,560,287,570,842,-201,1348,391
1171,1397,1440,1378,-1036,509,156,143,1650,543,785,-886
1254,1118,-396,382,1406,-116,152,-109,696,333,13,1383
-281,449,2094,911,2006,1149,1122,-282,-465,1367,1582,1814
195,-1273,-120,-1192,413,-983,-229,1467,1709,15,1271,418
1312,-2,421,277,644,90,370,-53,1055,683,757,-501
743,485,192,-233,684,322,1631,1915,1158,-428,-378,537
290,-64,774,600,1696,1807,226,-130,-695,308,497,625
1958,1622,-939,563,627,-170,1018,-512,1573,377,1806,191
1258,-408,768,-309,718,47,329,1384,1803,95,1394,1173
698,-203,55,803,717,918,1150,1700,765,421,211,1765
91,469,1310,130,-152,438,1051,975,221,875,373,1960
-78,378,594,865,1120,351,602,339,310,442,556,1233
327,-183,1684,974,-1065,138,558,959,1408,1868,-345,-983
1762,1819,-33,383,290,394,1986,256,204,1256,359,345
-11,684,1524,6,1345,471,1285,1860,947,-397,622,-299
841,262,776,-1092,-739,-94,1312,2919,1632,511,1381,2545
1079,-897,698,389,656,-1019,-399,287,324,1995,-163,-1039
778,542,402,506,1776,1463,1980,185,1367,771,56,907
480,-62,778,217,1135,-195,1354,272,17,1176,240,1903
1209,792,612,1411,539,250,1101,126,420,384,1207,1101
-689,-345,722,1976,-1086,828,467,-792,-770,-725,-973,-222
-98,1504,528,-1207,1219,1497,361,449,1242,88,360,-567
54,396,1958,1199,50,77,1732,854,1837,31,1616,-437
195,1129,978,89,1568,1129,595,1062,309,310,938,310
-330,-945,-820,823,1785,1763,-14,-1100,357,-838,1893,919
1371,36,307,842,15,233,1093,313,225,1511,959,1029
168,362,1903,1051,-61,-572,1956,1865,479,-833,92,1964
-1029,544,554,1750,1626,869,1670,79,1219,598,-321,714
1614,624,399,-1030,273,-1397,103,1640,1232,-1640,534,1713
912,1440,1359,1853,579,-41,-511,792,1503,537,477,12
-190,834,708,-226,1436,-102,927,1888,1929,336,-352,53
1522,1105,249,206,1362,1816,1500,389,551,334,1953,708
1863,1009,-865,495,-48,-1094,184,-1080,1952,1929,-1149,847
283,158,1031,539,426,911,-526,1346,-444,-739,781,-476
110,564,-658,579,1579,-694,1377,1784,1326,1840,-313,-21
698,858,-733,977,60,-180,1092,-490,1799,369,-206,724
-783,-303,1475,229,-622,-705,-594,1103,441,429,-1238,-193
97,751,58,162,1626,168,-190,354,23,1799,-576,35
-973,883,810,-1004,1617,388,655,-1136,-322,-574,1352,349
410,-1293,889,317,344,1457,-103,504,1400,-724,430,-1295
-137,625,1840,1496,555,-113,581,858,447,653,-102,157
-197,518,512,167,914,421,1120,745,1585,386,687,240
1082,177,-690,782,1375,244,309,240,740,566,320,201
648,323,1126,374,849,894,689,1170,892,90,776,1117
515,358,100,-442,520,-132,596,-743,687,966,1898,1515
608,433,642,907,-237,681,421,167,290,1080,208,-266
-1022,269,515,-953,526,225,1446,1764,978,-183,1796,1385
1846,1812,-952,824,-737,-582,759,-1047,1085,-783,483,229
331,12,190,832,1731,1827,560,-265,1432,-31,0,363
706,216,1446,1891,802,514,-611,416,968,391,262,574
1396,1990,57,442,317,565,107,834,886,494,537,-578
1522,579,163,582,1094,1785,771,74,1799,396,1612,591
622,266,1722,1948,522,432,178,237,1415,-674,264,1222
786,-304,159,-129,-867,420,1845,1406,-271,79,1646,-268
397,1279,1095,625,336,300,1710,510,828,1227,281,883
-16,-982,-127,8,1072,95,772,832,484,-178,-983,254
248,86,583,1258,373,721,637,542,1094,206,1164,997
1604,1014,-677,-265,1537,-538,359,25,688,910,1988,1227
1767,394,1815,1093,1256,-58,710,251,-305,224,-217,1476
104,-541,575,-199,-492,-386,159,739,302,184,1320,1029
547,1059,302,1984,671,5,270,147,1958,1449,-296,1215
850,-24,1570,1995,746,543,341,499,588,357,1625,39
229,76,146,1965,233,606,1708,1554,949,429,278,844
277,-367,1372,1879,224,-1118,1076,-271,-390,-342,1416,-612
156,14,1645,41,-1029,152,-490,21,917,1316,1606,551
1001,1292,231,288,1278,4,487,244,1867,914,202,-381
1317,-290,1353,224,1911,1614,454,-177,544,-13,864,1886
929,1936,1470,-465,-1116,57,225,-1035,1518,1758,1958,1581
1579,395,122,1,47,327,-285,100,1793,-21,17,-796
528,218,1536,-463,1321,1813,655,-203,1241,936,-137,-142
1111,1880,1891,1351,1264,321,-286,-510,1539,-576,1973,1227
938,396,1708,1785,113,697,622,-30,1202,-612,1801,769
311,187,463,818,-144,2,1218,7,718,798,893,1829
142,-402,1091,-477,415,-398,-49,-466,396,-756,1943,1872
-321,712,1762,56,1210,522,-27,14,2137,612,949,-206
1759,1318,-270,-72,787,150,524,43,159,-885,1550,-540
1263,1939,53,1396,706,467,685,774,1877,919,1639,371
1947,1629,423,1611,-465,14,1578,-30,945,906,272,101
655,744,1979,1927,1156,232,1165,-527,1832,1378,-3,1158
1769,96,79,1900,578,295,1519,799,231,495,561,1338
314,377,569,404,158,235,-338,553,-145,-796,1178,-403
782,630,1613,356,409,-1029,1120,-1180,384,123,1846,1631
-922,-432,817,661,1618,-425,23,-1010,-639,1358,1385,-167
-465,-695,650,531,1015,1374,-481,585,999,-318,-605,-423
-1063,168,223,1065,-437,-638,1919,1987,-114,1388,2107,1002
819,-303,-426,-418,433,349,1494,533,1480,-534,731,254
84,289,562,331,1637,1547,625,-125,1863,882,952,1615
583,480,1937,1065,1159,436,593,459,1367,13,863,827
489,387,995,258,1363,697,504,1966,178,343,907,358
-254,962,420,935,1919,650,-227,-311,308,-1163,1762,-40
443,211,1108,231,1526,1767,631,289,30,10,849,397
206,1816,41,-1070,1127,-931,1801,300,418,40,1013,-915
1789,455,1555,1546,941,1044,-356,1108,392,1404,629,550
-615,-547,-1060,941,-776,1244,552,183,-243,-1017,128,223
233,435,1825,161,1534,-550,553,222,-307,-837,588,284
714,-1005,1232,105,750,1973,1194,-906,1602,1766,1534,-597
-781,1025,425,-1109,1804,625,1582,48,1142,395,418,-255
522,-232,426,716,231,1959,837,-274,254,-538,-60,-625
-1103,13,966,-1081,274,-1105,1966,684,942,-67,1702,1503
1184,1877,1165,505,1545,168,373,1308,1024,-432,192,754
-187,490,208,183,582,518,737,249,1331,9,864,649
52,586,-129,258,1815,1879,2051,1586,1074,-459,1261,242
449,363,1268,486,1672,1559,78,1765,1624,565,521,992
73,915,842,653,1342,950,367,1392,1483,187,196,779
1974,1898,1232,922,1463,412,-22,1317,-33,270,818,1603
-780,-454,482,1833,1010,132,1385,108,496,874,-116,1274
578,386,959,467,291,215,364,1345,253,356,181,1482
1069,-657,1223,-304,947,-1106,-820,-37,1439,1227,1916,1280
639,1315,1937,98,1519,225,106,1291,1467,1008,707,355
-987,1131,-275,325,-637,1417,785,-631,270,-1193,1723,1308
-602,1501,765,-910,500,263,-543,398,1826,1931,-387,1218
-546,895,1527,408,1393,-684,1952,749,-135,-125,1072,-983
666,232,1820,-366,742,-23,1564,-452,-297,-460,1415,-547
1596,1819,630,386,67,485,1396,113,172,389,375,493
851,426,726,96,1532,1728,446,718,-41,754,1027,131
389,1650,415,524,1425,293,33,1629,666,-52,623,695
871,-1194,-61,1271,1614,-798,904,-457,306,-76,-122,-1094
-300,-996,-382,-193,60,-804,581,-469,1654,1903,802,-1116
1075,-780,1582,-462,1431,-674,521,295,-943,-358,761,1407
699,-7,1054,-99,42,446,594,896,353,558,1092,146
-800,447,746,9,611,543,1146,204,-655,1450,595,1161
1881,271,1137,926,550,580,335,1667,114,1286,369,451
51,-236,1169,-224,1960,1334,1688,-559,1860,1715,1040,1367
1643,1368,741,768,322,1210,685,1549,1915,211,338,488
209,-711,-1096,412,1142,727,432,-624,1102,1988,1808,538
1417,819,1219,1778,593,882,354,236,680,367,200,646
181,201,603,1760,61,1428,1560,1016,655,724,209,748
899,288,1001,304,465,-459,234,-128,615,696,536,1276
269,94,1692,-74,565,1157,378,506,1296,236,1733,1815
1584,1532,-965,623,-3,1557,1179,824,14,1,1615,1963
956,-977,-735,752,1001,10,186,-1019,280,1050,1130,833
1948,1529,177,642,639,983,1353,-256,1996,329,247,1017
44,1516,1033,915,-189,635,706,1577,1321,843,1597,1168
221,772,-48,-54,1971,1979,625,75,1110,-178,-21,938
1481,1546,1886,651,147,433,177,1904,475,-280,342,-55
-648,-427,304,-469,-115,1079,515,175,315,-5,863,-65
1988,1289,947,59,54,-268,-598,552,336,0,1158,325
1460,291,-400,-79,1879,1791,1486,-529,-118,-12,1799,1030
1568,689,483,900,812,567,518,249,65,1249,908,447
571,628,1370,446,883,141,-58,645,100,73,1649,1637
123,1877,902,1311,734,520,1119,942,1781,363,97,1517
685,1149,90,28,448,4,1568,551,1923,310,399,366
739,-1161,1192,853,851,-313,-19,179,1280,1817,1832,-327
1954,1466,138,203,643,977,1752,1513,1098,1888,-153,-1152
554,1,1622,1879,171,-260,-393,-696,-296,628,-667,1261
-533,355,-50,162,636,408,1851,1667,-26,1660,180,-454
829,-492,1821,1477,904,288,-1139,553,1361,154,1345,1812
1850,1275,438,-13,10,499,1671,460,1285,-118,1490,-662
-283,-271,1632,-310,1480,507,1141,-401,370,-475,1940,474
125,230,1605,-209,-913,-401,-225,1294,1087,-260,1280,1891
-91,15,1638,210,522,670,469,-53,323,381,367,1179
1237,116,760,-442,-512,-840,735,998,1202,383,1389,1823
45,1223,1066,-144,1933,428,582,422,548,369,1580,1804
1996,264,-109,906,462,-971,1990,659,89,86,1425,-758
-1099,655,1742,1707,-838,-581,940,240,1353,445,1153,-919
1706,-30,276,2010,-762,-96,523,1975,1239,-701,-494,1844
1599,1870,1169,-901,1758,545,-949,745,863,1464,-696,803
697,639,105,801,505,7,1273,-100,916,195,751,1980
181,623,1291,1463,1445,-39,622,659,1229,428,-1124,345
1226,1736,304,610,172,337,1176,428,586,185,-48,453
1648,2227,1980,1965,-186,245,2522,1687,-425,466,649,1079
961,1965,337,-76,66,573,263,753,877,623,648,122
784,-281,-89,411,139,748,231,1994,170,-42,1887,1420
-934,-103,1536,1287,1370,-937,288,300,617,-1297,858,-1309
-438,126,1798,1147,-125,-777,1344,-562,1616,1659,-1034,850
144,1365,1827,1747,368,341,665,68,213,200,1267,1211
1101,724,341,268,495,668,95,465,1355,355,75,-1136
1467,-74,-621,341,980,2015,1199,-52,1138,-330,192,1317
1915,1802,287,531,0,-1080,-1125,696,921,-982,1316,1837
167,262,1976,409,272,-73,1049,-148,-321,259,726,-593
320,-146,1466,-111,445,-142,283,794,117,1968,1167,1975
354,-480,996,132,211,-89,1094,970,1528,1066,121,189
-38,69,-203,706,664,-659,964,1213,1097,1009,62,516
-26,422,-840,1156,447,-568,1346,-783,617,92,-1008,-260
1659,1893,-188,1084,1907,1613,472,520,520,-1089,-364,-1005
202,17,1375,-315,661,-811,362,367,1380,1536,632,-465
332,1290,439,1698,8,1639,1918,482,1726,739,1260,528
772,1883,1044,774,1236,1708,1137,334,479,297,536,863
746,-873,1420,-45,1969,742,1211,-885,214,-509,145,1783
717,945,1481,1940,621,457,1106,-18,219,223,263,63
31,-856,-695,962,-842,-504,676,314,264,-466,1851,1660
1063,888,238,23,1536,-278,504,278,591,1149,1389,-752
-462,104,1754,1646,951,979,-280,1635,411,-816,1181,1882
1238,991,436,-384,1581,-418,1737,1211,693,-150,1100,-702
1993,594,1067,1097,287,145,1445,641,626,363,720,-19
110,52,295,1206,-216,-245,529,40,723,798,406,441
729,799,-989,781,-939,1123,-926,-396,1042,1648,1669,242
-1027,839,357,203,1261,-772,1076,371,-88,-997,485,2099
827,595,-671,1390,741,-64,288,1806,-1081,77,-8,790
1141,-817,1589,1427,1208,-52,-974,-13,-760,32,1598,1437
-1153,514,-630,-749,784,-684,1082,-788,839,-1054,-688,-802
1822,1697,-137,1242,1375,-687,1612,1761,916,1211,1872,230
1925,328,-136,569,131,-936,1791,-198,372,-434,-216,1143
63,1330,344,483,506,904,1452,194,1061,110,1323,783
599,930,145,-1114,1718,350,439,36,231,615,2113,1502
-218,1452,504,52,1884,1914,1355,169,790,461,981,17
-735,91,865,931,-255,85,111,1043,1017,-902,-281,33
992,602,1932,302,195,-158,187,-622,1946,597,1799,1944
1156,166,798,6,839,-118,1304,1222,1428,1678,320,1161
822,376,1600,-62,1950,156,1237,958,172,122,1033,938
391,680,519,417,402,-449,1552,1354,1521,-559,-661,35
498,309,-372,647,676,-208,1451,1645,780,1998,788,1231
262,-1230,861,-1106,489,111,774,381,597,167,1511,-591
-65,1208,679,-21,350,238,970,985,754,343,959,60
523,302,1491,623,1567,-31,-507,356,147,142,1641,-235
869,-431,1155,820,1530,497,1477,1614,740,561,1057,1962
298,627,-226,1350,848,-473,463,610,-910,790,1982,301
1173,769,-235,-82,1884,1328,495,-412,-370,91,-597,-562
890,-1058,1875,1139,607,-590,1366,1952,-155,538,729,966
1073,219,70,-102,747,1044,141,323,397,1201,1559,587
-582,-1016,795,572,-245,-121,143,-1278,-592,248,311,1254
1078,210,1138,1832,51,851,1447,907,256,989,478,985
1409,-266,255,1803,1666,180,1383,284,-335,-924,-912,99
1761,1817,537,402,1713,1244,-63,216,328,126,490,357
915,47,1864,1163,1683,1378,-415,-941,586,-949,1001,-1075
1691,1808,-319,919,899,745,1406,1949,941,-865,1886,720
527,-75,300,1190,1027,-114,1495,567,-402,1047,1863,1262
1210,-18,35,-16,64,168,712,3,596,-323,-6,707
1667,-393,1093,1004,1561,1670,1954,1136,155,-1080,610,-237
1837,1399,687,-1062,1356,-633,284,131,1608,356,-863,-510
963,423,-1011,-32,926,859,1356,-465,-99,1380,999,995
1141,528,-155,533,829,392,690,-133,-40,100,1712,-292
282,-32,-81,174,455,190,1767,325,-129,495,475,728
-381,327,1094,678,1158,-122,937,236,-272,-29,337,-187
-133,867,497,657,498,816,1785,-55,885,1652,290,471
99,1279,1798,454,560,483,911,171,1242,1760,224,1619
1084,617,1077,1944,134,217,1026,1177,1893,1905,1594,1281
1122,389,497,859,415,-436,856,-554,1637,480,-1080,72
1682,1792,81,153,343,1999,1421,637,538,198,1456,-616
1353,504,1373,289,1234,717,118,553,282,1507,640,1267
798,269,443,582,1964,911,490,878,872,113,711,136
-1092,-90,1062,1935,696,-1089,1438,1658,667,-789,-94,-1092
326,1108,239,1937,1175,548,834,1175,1112,1093,1974,860
117,1859,1257,16,1615,1660,475,109,1173,1217,569,1388
304,4,1941,1599,-191,186,28,-54,807,596,-487,1117
675,361,1640,330,453,943,366,781,446,-38,1916,12
1107,-3,1041,678,-490,425,1945,1458,1149,-423,936,94
829,1401,1364,448,708,904,-353,337,1068,-156,1762,1858
593,-916,1920,1833,1153,323,-980,953,-258,390,1637,1065
304,776,1496,502,224,1731,39,1093,1798,1806,140,-1127
1539,1745,-404,1229,-6,-923,1115,-870,-869,-400,1939,1470
856,287,22,941,606,1077,-60,647,1801,1268,-158,1294
735,-1079,734,1214,1497,590,-1104,796,888,1427,-1111,138
1024,1722,558,657,1284,1917,761,581,2001,53,1838,611
1749,70,793,-29,899,998,556,3,471,577,36,1259
651,292,1574,357,1883,1402,449,348,596,907,479,288
116,348,848,90,784,838,553,-59,1526,318,-125,549
-476,1259,-62,588,-845,93,2014,683,1509,797,-216,1215
-775,-217,-246,-978,1590,1888,638,2301,1136,592,-763,607
-433,-556,1216,1382,144,366,883,-714,111,-375,440,1660
431,-1052,1770,1210,240,1950,-272,663,-1070,-147,1900,1848
643,956,-903,895,452,-43,111,352,-749,640,738,-730
230,241,661,528,1246,1917,706,717,590,321,1759,250
1126,-563,649,-977,1491,220,858,1989,-127,-535,-271,-937
1418,488,-465,-1316,-404,359,1216,-906,473,-1343,-624,-1192
-976,927,1073,-831,-82,-821,110,93,1300,1434,-141,-994
1819,1674,-1114,170,284,1232,1217,1214,1415,-300,1893,1822
772,186,281,-340,1820,1436,404,339,1627,156,845,-786
838,346,547,313,494,713,1350,-80,668,23,-526,865
1379,1066,1294,1759,256,367,572,-177,54,1244,297,1954
-115,970,531,-637,414,-1038,1180,-432,-1091,19,1838,1811
-2,648,81,732,1801,977,236,776,589,1055,975,1757
-104,-929,-767,78,1303,1813,1849,1364,100,-141,1835,171
-745,350,-363,17,253,-1076,1201,759,-592,-96,1633,-339
705,474,-70,-260,1961,783,1777,1676,1244,-257,1226,237
-499,1177,-138,465,-266,-6,788,1587,-159,67,1941,1868
1003,-900,1144,1905,1848,1084,1808,1917,439,237,-1050,-258
1249,-667,717,360,519,-872,193,172,-555,-45,516,760
1152,-514,441,1028,89,-58,1476,9,440,4,1784,201
1802,-18,1698,1336,340,209,-258,397,565,-1100,523,-94
20,-519,-222,-595,171,-157,1083,-845,-352,1257,765,-627
596,-283,162,378,1788,1319,-691,63,210,127,1953,1535
1047,94,1473,86,-780,410,1085,1895,726,378,1045,468
653,-123,-78,275,886,-74,-269,87,-961,290,-748,971
585,9,1937,89,392,1,484,1429,1835,-157,1280,1078
668,620,208,364,1786,1315,-94,-343,404,677,1035,-268
-282,516,1079,575,1995,71,897,71,680,142,1329,1632
1478,-723,1705,100,-461,1625,-583,-814,1216,1208,-406,1412
391,1239,733,-44,778,786,1155,1105,106,0,1320,1101
632,3,2004,291,125,1087,392,180,1617,-1,820,299
929,510,199,865,37,1158,1300,373,615,1157,418,1096
1788,1508,1442,1805,-669,-360,49,404,1678,362,-78,-503
325,351,-135,897,360,660,379,-664,65,162,826,-155
240,2202,952,-1002,867,1875,650,1766,1178,2102,31,1056
673,499,917,60,1626,1331,-241,953,377,439,165,801
41,312,1972,1903,-591,-3,1003,1639,1822,439,619,-1054
-1126,369,1961,1252,688,-387,-987,-337,1547,-297,1592,1318
-54,-915,1162,-887,-803,-51,1600,1482,-864,-522,-61,-1073
1139,1928,931,39,138,458,860,361,25,328,1564,-381
971,-498,-266,941,1378,66,728,901,603,1273,1206,-210
624,-670,-540,860,-612,957,1748,1659,1290,579,-520,295
323,202,573,898,1998,571,927,462,588,14,536,318
1148,345,258,1667,1182,1525,391,241,1391,257,1740,274
640,169,-620,-698,317,215,132,296,749,2279,43,162
1990,648,941,895,283,753,-368,277,91,449,1807,1021
1468,1816,332,-253,-607,148,355,423,17,-30,-853,-87
1209,107,1836,1908,1553,1588,191,1040,848,773,85,-51
1676,1506,771,125,1301,-607,255,173,159,188,795,-646
517,-498,433,686,605,588,989,-225,1213,175,1928,1206
251,-1132,-427,1268,642,983,779,1677,0,1821,1202,1060
700,306,71,308,1366,984,379,26,142,760,869,1392
127,1399,861,858,1126,405,1875,1276,975,-335,1636,1783
471,-27,-896,895,1446,1971,488,476,1600,-229,-539,1302
259,257,1881,868,578,423,-929,-182,857,-90,673,-570
1975,695,485,518,1336,1676,1023,723,100,238,44,637
1068,1171,497,216,1989,986,1143,1665,1402,904,295,1465
-970,743,72,1332,1790,1402,-804,-340,1162,1995,-320,159
78,779,1705,1642,-795,1027,451,1156,-53,77,319,-403
1032,25,901,571,-315,587,1344,968,1704,1525,216,907
760,509,62,701,-56,-33,848,-291,557,181,1431,1298
1705,1453,-903,-442,60,-723,170,-928,298,-622,1048,1870
867,1961,756,-844,652,-938,396,1399,860,553,916,199
343,622,215,807,951,-581,151,257,589,1777,1308,-346
407,508,1281,-834,1869,1039,57,-839,1577,-363,1395,-660
1834,1940,440,305,220,-771,-459,-903,1492,311,-956,-190
36,-1153,-335,-12,453,-493,1829,1879,794,-1097,1996,1144
1066,1549,687,1622,-75,-774,-139,358,-94,756,730,1003
-354,305,1739,1710,1762,1965,1396,636,464,-153,1155,2098
1217,-5,355,-395,609,513,901,43,386,3,434,1185
877,551,1316,128,145,563,653,925,575,190,1815,1976
-88,-622,-834,979,1627,484,345,-1048,1245,-482,1429,279
631,962,716,-255,447,65,104,1898,1263,748,679,237
842,777,1338,18,780,68,637,1420,351,99,1533,575
755,605,1829,1107,778,215,698,1504,78,666,1508,917
918,950,1623,1511,1073,146,141,-190,48,-137,900,101
559,-365,-1053,459,277,0,1781,1354,426,466,1518,1790
933,-1028,714,726,189,-504,64,-1091,1306,1777,1057,-812
269,539,119,-98,539,443,1630,1480,503,295,1190,747
685,-987,1504,-547,402,775,-548,859,-138,-540,-873,-492
-138,-881,0,-1051,1911,1204,1021,-995,570,-1120,81,-119
138,-437,85,484,455,76,975,696,1247,1936,224,-299
774,391,360,107,416,391,1935,687,1060,110,68,274
1871,1562,136,59,777,501,348,203,1028,1939,725,750
291,1842,783,-967,1258,1147,219,270,1395,453,-876,554
1953,1107,516,-146,1014,-829,1552,147,338,-480,481,888
