Drone1_x,Drone1_y,Drone2_x,Drone2_y,Drone3_x,Drone3_y,Drone4_x,Drone4_y,Drone5_x,Drone5_y,Drone6_x,Drone6_y
749,1391,128,1793,1813,326,-892,-358,-215,1565,1790,1606
897,1426,1834,1084,1912,1881,-274,-919,-1010,1016,101,1947
1360,1866,877,-273,818,1685,514,1215,896,859,1205,854
-718,1188,1648,1306,883,1243,399,686,637,1777,1045,1084
1199,1423,1674,1688,946,1866,-697,-656,902,1593,1753,1399
504,2032,1848,1381,-599,-817,1362,-713,423,1843,1877,1756
195,1239,994,263,1380,-754,-36,-722,463,1951,306,1933
-822,-563,1449,1261,1938,1197,-31,-1067,1858,70,1412,1400
1760,1446,92,1802,1499,2026,976,-993,-110,-830,979,1709
130,1856,1294,1801,1902,1596,357,-1176,1075,1730,1086,1889
-79,1795,1481,-643,1218,1590,1002,-998,1043,1864,1152,1837
1225,1061,-1134,420,841,240,1103,-200,1558,1620,126,1856
-1117,438,1231,2231,-694,87,1153,-148,1061,2351,-638,1304
1874,1842,812,-853,-461,-677,-1028,20,-955,651,531,1985
353,-1117,1911,371,240,1847,1209,-894,1865,1400,1926,1020
507,1842,1141,-982,342,-1156,1619,-482,1878,1983,1029,-979
1633,-159,1334,1148,-409,119,-583,771,1831,1867,758,1836
1425,-678,300,1815,199,-1054,1492,664,1401,1548,1755,1798
97,-1016,1993,1946,581,-1048,312,1361,1645,-410,-854,990
556,1862,1647,1124,1434,777,132,1865,713,-664,1027,1763
1075,-948,-1166,322,1177,1656,-1112,610,350,1941,1483,-688
465,-298,-147,1700,79,-243,419,-225,1536,1423,879,645
1708,-438,1981,602,1774,58,1859,871,664,1788,-574,-854
89,-1181,1714,-416,1481,0,1221,-774,-901,1156,1583,-618
37,-999,1052,1729,1458,1549,1252,543,-723,1412,-696,-710
-458,897,61,-1072,679,-1067,388,925,1019,1218,-487,-879
1764,996,1295,1505,1541,1887,1867,1243,560,1045,1779,273
1242,1907,418,-819,-1119,139,1223,1906,1083,-1137,2309,1514
1565,-635,447,1098,1910,213,410,281,617,612,1324,1574
1832,1270,1852,1602,1474,2087,-101,1698,1997,1381,1752,1410
2041,1081,1295,1803,1393,1803,2079,1263,2050,604,249,2164
268,-810,1717,1652,134,1719,1971,125,839,1010,1691,1257
1077,-999,1465,-826,1533,1631,1841,1584,29,-1111,-1182,193
839,1686,-239,605,1085,1600,1398,1273,-191,-759,1890,1427
1945,204,1563,370,1031,1543,565,619,256,1736,1770,1088
-940,-233,145,-1175,537,2228,969,2046,1547,1743,841,2162
1292,1979,-930,-807,1306,2038,1068,-1107,1125,2147,-384,-1161
270,2005,1340,1734,1760,1530,316,-1111,610,1962,1828,1384
-265,93,1042,550,-256,1131,1180,630,501,-229,1278,-742
1099,95,1516,4,-168,910,1099,1845,258,-433,406,1968
471,1926,1841,-24,-1115,-97,1972,791,1722,-385,1737,-375
1756,1860,1773,505,350,-1068,1575,1356,952,1658,1054,1621
96,-1079,668,1783,1775,23,848,1854,1566,625,-610,-687
-986,-344,-1089,-87,800,978,463,1938,1473,1441,488,1439
1843,1033,860,1739,1693,-404,1559,1963,972,-929,1873,1614
1034,-941,366,2132,5,-1109,1910,1886,493,2205,1667,1645
356,1845,-1130,491,-659,-746,1688,1039,421,1866,-16,433
1512,1421,1776,1145,1783,1825,333,1811,1912,712,364,1641
1476,52,-509,9,1483,1885,510,-1057,704,252,1026,-765
254,906,1072,367,702,1102,1485,1700,1171,1173,373,64
70,274,1289,1566,694,532,537,1390,1418,1096,1099,368
1430,-631,819,1670,1739,263,1237,1585,1138,1650,1680,1768
1462,1387,1962,893,1522,82,579,1919,175,1823,-614,-809
-1010,20,600,-1123,919,1770,556,1829,390,-768,-1186,365
860,629,-889,-272,1459,1360,-923,-291,-713,1413,1673,-333
608,870,1294,657,1344,323,231,1594,1790,1947,1768,736
738,1703,1544,590,-317,-424,244,929,1551,74,-202,1644
164,-1104,847,-504,-168,1226,-310,1470,1214,1696,1739,958
1675,1070,-685,-737,1394,1615,378,-1156,1756,1224,1460,-709
831,-425,1447,608,264,1976,1093,1842,1165,1094,1588,1875
1706,-111,478,1909,938,818,2066,435,789,1939,1290,1824
417,1662,1344,1836,-1133,246,1451,1359,-685,774,1658,1026
1867,1564,-1114,327,1212,-928,1767,1071,1883,1968,481,1999
1528,1506,515,2014,1638,-458,-4,919,334,1874,547,56
372,0,1885,1547,933,96,799,0,776,58,1883,801
506,-1139,-489,-586,-629,-731,-790,1275,331,1770,1486,1326
292,1376,436,-180,-687,289,1751,1221,1047,1206,1362,1516
-268,1233,630,-30,1240,1490,1388,66,259,1427,465,1851
1673,1651,1314,22,581,-1126,-35,1151,1259,1919,1007,-1001
-505,-875,1884,2171,943,662,386,1443,1234,116,10,369
160,1880,1605,1412,1042,1461,1174,-408,859,-1048,1772,939
1778,1308,2006,327,1994,1130,1216,1587,-772,1166,1519,-419
844,468,1981,706,-184,1620,1668,1421,919,278,325,1261
762,679,1145,386,779,1803,170,731,665,1023,447,1979
407,1754,227,1007,395,-71,1199,1783,737,638,1765,1073
1495,1725,-1107,435,933,567,1262,-1048,461,1785,208,1840
1983,1263,1669,1035,1214,1530,-31,-994,-741,-603,923,-972
90,-1100,1116,-78,1810,483,886,1710,1163,1588,-125,-717
-173,1124,108,530,1220,1374,1250,1116,1607,602,116,258
1313,1664,-525,-44,928,1850,1084,1934,365,-1167,1705,1330
1382,1669,873,-680,1669,1933,820,1866,-1040,475,54,800
253,353,1826,1378,304,868,580,-151,1276,1838,-778,12
1982,1266,863,1244,543,369,575,618,65,523,397,1543
722,1900,-181,-35,1661,-429,1508,1435,254,1882,1770,1011
-526,-824,1752,385,1237,1501,710,2208,374,2358,-517,2170
-322,337,993,1728,1834,1380,581,1878,1211,626,1099,-706
1237,1494,1075,1277,1226,1416,802,1514,-5,-658,547,1846
1110,1313,527,293,517,41,323,116,877,448,1319,1035
1720,1865,627,737,1830,406,1164,-158,94,1926,1196,1664
691,465,835,779,305,1086,1736,1002,164,-39,735,865
1776,-51,608,237,-451,-949,1708,-342,252,1880,-1130,79
-106,976,239,524,1095,27,646,-420,1536,1474,1197,-815
342,1720,1388,-714,661,2103,1175,814,-532,15,1561,1916
1102,1691,601,-1128,782,1787,-599,32,933,-1034,1300,-828
1480,591,1105,-279,-622,-743,613,1848,1512,1969,-711,271
1692,626,974,884,-327,1060,601,-1115,1424,1415,1856,1934
1047,1394,1638,871,101,345,1842,1192,672,1444,1297,585
1095,358,443,1046,625,572,185,861,1157,1255,1423,1142
1237,1696,759,1868,-1131,67,743,-3,1573,-268,-147,-1053
-1072,790,1975,1668,1789,485,379,-737,920,1445,1013,1786
1146,1606,430,1849,-361,1345,1938,517,1458,1467,284,1940
-907,1335,1998,1624,807,2232,1866,1703,248,-1391,1230,-1011
488,-1116,1006,-1038,1831,451,1972,941,1435,-365,886,1842
1253,1767,992,-1073,-297,-1049,1082,1935,1301,-789,478,-1224
949,1010,1415,-530,785,1410,913,608,1269,1540,1196,1703
1604,-438,-77,1148,1771,49,-74,2035,973,1929,1634,2033
611,368,1938,991,-275,903,525,1793,-665,1040,-364,-501
-643,1426,508,-1086,1359,1760,1515,-546,1848,1679,1574,1719
-1079,1116,552,1843,1373,-717,825,1666,1728,-276,743,-1098
1674,1517,195,-1143,1207,1730,1058,2097,81,1790,-587,-826
1825,32,1205,1618,71,-1118,1248,1539,-399,604,552,-1168
1822,1813,-55,-1110,1298,1722,1901,1387,644,1663,358,2003
1902,-215,1277,1698,1611,1424,1881,-262,1214,1649,1093,1790
1690,-48,1305,1731,6,711,-1096,-8,1743,-77,987,1869
1573,1932,1889,1623,133,-1113,600,-1114,314,1848,129,-748
720,1395,171,259,344,742,240,753,1468,1095,1128,445
347,1639,1245,311,1857,1210,1521,1171,1406,-184,-650,-358
64,-428,880,1752,103,1872,908,1532,322,1365,1615,-517
717,1215,1454,860,1935,278,-354,188,409,-301,972,948
1997,1238,740,1835,1235,1330,-82,1820,1943,444,1398,1527
1576,668,1639,1380,1450,1056,1412,665,1405,816,588,1753
1673,2097,-316,-989,581,-1040,-343,1661,974,1961,-387,1160
73,1848,1815,455,-1146,574,609,1990,364,1750,1708,1889
360,1891,161,790,1164,1682,1531,-208,1775,914,1913,61
435,435,520,1032,63,1713,828,1868,934,90,257,888
727,-742,1743,-46,796,1752,1541,1683,971,56,371,-1131
1697,1726,1413,1289,255,-1156,577,1873,1723,1018,1927,1429
1951,1300,225,1246,1364,62,352,533,1540,0,1883,724
1863,1729,1061,-265,978,1188,537,-336,276,-655,1649,1630
273,1886,-206,-360,1984,186,651,1937,1292,1649,1869,1067
1426,2216,880,2252,-164,1441,1885,-42,413,2360,-1028,113
66,1838,987,1746,305,1324,1657,1549,1502,-625,1492,1412
1749,1715,1855,1774,696,1313,1497,-647,-426,1656,145,1922
-932,-97,43,-1091,1446,1561,1407,1892,-728,1562,1573,2012
252,1763,701,1019,1823,1703,798,49,1074,-193,-699,-708
1536,1396,2014,1337,348,-1152,861,1853,256,-1157,1999,1668
1390,-711,1174,1943,427,2022,-1007,-315,103,1999,139,2162
-807,1500,680,2636,338,1883,-1039,54,953,2162,1097,2571
1258,1388,459,2046,1930,1066,709,-1111,1781,-133,1322,1795
-556,1577,1619,744,376,1878,1069,1807,193,-1142,1113,1612
1910,1573,1821,214,1066,1722,261,1805,730,586,519,889
1942,664,1498,799,941,-94,262,-977,1872,850,77,1877
274,1915,1879,1251,1921,1576,196,-1106,928,1898,-38,1830
1629,1377,769,0,381,431,1720,1051,42,1165,578,-271
955,892,1593,767,144,1940,1702,-299,1398,596,769,1731
559,-1032,401,1765,1612,1797,1738,808,921,1511,-121,-1059
1209,-854,1145,1631,1495,423,612,-520,-926,-111,1619,1478
1228,102,1438,1396,606,1610,1749,981,715,0,1059,-970
1959,721,1590,152,434,-1155,-189,1734,1853,1889,923,-1071
1441,1662,1772,382,980,1084,-249,764,1830,1392,-284,619
1961,358,1861,907,1370,1447,432,1842,-828,-469,1959,1078
479,1853,1830,1326,-774,-611,1571,1413,1765,222,523,1905
-687,-719,1851,1436,1582,50,1836,1289,24,1742,162,1982
648,2140,534,2202,-1171,961,186,2095,2185,200,2228,778
20,-1112,1635,1018,753,1850,846,1748,-448,-108,1520,1921
1597,1026,-346,-988,1933,1029,881,-1075,643,-1125,1095,696
727,1838,1702,1503,1599,377,149,-153,169,1955,855,1270
-920,506,187,2058,1761,1855,-627,-828,959,1951,135,1994
969,-848,178,289,1296,2390,1507,2145,1033,1429,615,1652
648,2271,-307,-1204,622,2244,-962,1282,-24,-1278,1351,1810
661,2033,871,1058,446,2006,1737,-396,-721,255,680,2167
179,1081,964,-33,1086,56,1149,1389,393,1861,1877,673
793,-1092,-927,1103,1620,1584,1756,375,876,1465,-797,1206
1665,-308,1781,1101,-745,1351,981,528,75,1956,1234,1588
-1061,596,317,-1153,1800,458,-450,-798,1293,1492,1516,1644
1750,1226,1129,1754,-476,704,-1150,282,600,1964,-549,1416
1744,-144,1308,5,30,1807,1983,1160,1172,1361,-665,-742
1979,1758,1769,20,101,1258,508,-69,484,1875,1857,808
487,2283,944,2271,1400,1875,941,2191,-712,-806,1613,1908
243,1947,32,-1123,-886,1206,850,510,1065,1669,1849,366
750,267,398,441,509,1568,930,1638,60,203,109,1905
1716,1979,-1083,-104,1520,1934,88,-693,409,1867,731,-1066
1500,248,181,1481,1935,1062,1311,1626,1109,1135,1945,151
-85,1487,1275,30,-204,7,338,-431,310,697,456,421
1959,1413,-1088,43,-121,-97,1672,-224,370,1476,1780,1427
501,1589,195,1652,837,914,1264,1956,1103,1825,-199,-142
-1050,221,1560,1756,2007,1036,2135,1019,966,2079,1851,1884
1122,2296,2229,3134,-1069,1043,1680,3561,1085,2812,1162,3177
302,65,1882,504,69,1306,1516,667,1127,291,366,1460
1829,1764,1461,1709,2003,294,1388,1792,1970,573,1928,-508
1197,1866,878,1975,1480,1493,456,2102,573,-1197,-1121,-77
347,1038,472,-186,1269,240,1513,1679,333,676,1536,383
-314,811,1807,-62,1194,427,-575,-538,1701,1016,1371,798
451,1501,1133,1094,1087,524,560,819,1287,901,1149,1517
231,2155,1961,481,191,2354,1675,-356,-979,-398,-1134,420
-378,-985,-79,1719,40,1451,-467,-871,1675,1754,1697,-351
1516,1280,1909,1329,-844,-562,-170,-1075,1536,1236,1859,61
783,1779,-977,-108,252,1855,1732,355,1742,1532,691,-1044
976,1633,1222,-32,1385,277,1125,568,705,1952,750,488
881,1917,1422,-733,760,-1102,1212,1569,1356,424,502,1873
-1044,927,394,-1061,1486,-383,1466,1726,1261,-786,1305,1475
1243,804,737,-598,472,1364,-197,-956,697,-1031,-913,982
-916,-476,1826,-36,1280,1642,1290,1733,91,1997,1595,1702
404,417,1674,988,1000,-645,-325,-231,603,-612,259,1854
1886,263,96,-1164,1290,-906,1622,1890,1844,831,1717,1231
-112,877,1404,714,1157,684,611,1908,99,1133,1647,1311
295,1756,537,-1155,3,1924,1401,1394,1507,1114,454,1979
1499,1796,269,-1144,1913,1775,1025,1872,1344,820,161,2020
875,2107,84,1830,878,1954,641,-1158,1491,1899,1969,1679
1918,523,1262,1747,836,1885,1262,1939,-1148,169,750,1817
-465,1046,687,2909,-404,358,-922,723,1363,2818,1640,2644
330,1907,202,1862,1180,1934,1003,1787,1593,-551,1695,-431
33,1710,1207,1917,1825,1725,416,-1139,1047,1984,122,1855
850,-876,1202,-134,1938,1545,-51,558,1516,1824,613,1756
1668,1463,1920,483,867,-1058,-1078,-61,1721,1995,1008,1744
1131,4,327,946,109,1082,1175,389,1709,915,1758,1183
1741,1282,1849,532,383,1536,1351,1323,107,1837,569,2013
-35,-1100,1521,1735,-832,144,489,-1139,1268,1560,369,2246
494,276,1203,678,1680,-374,676,181,192,9,498,1046
-1089,616,364,-1109,316,-893,633,-937,1049,1499,810,1774
928,391,719,976,205,1083,1179,1729,1569,-122,1286,1615
1822,638,1844,1684,-13,197,1471,1555,221,-396,1824,-325
-362,-685,948,626,1237,1748,1103,-711,1116,1688,401,1866
1757,890,193,1345,-813,70,-629,1480,-82,-285,1840,553
762,449,185,409,380,1142,1375,951,-166,787,808,869
758,1022,954,451,347,1588,1938,1261,1118,34,709,424
2126,697,1053,1954,1588,402,-850,-137,1851,77,1690,6
-232,911,1648,1951,1005,1172,934,1400,917,156,119,1183
963,1566,-330,1251,881,-960,1187,-914,49,1607,1074,2007
728,-349,1511,2061,1789,1468,974,-1158,1564,1962,1649,1931
930,602,1109,794,-68,790,1492,-567,1389,727,-801,1258
1827,156,304,-258,1016,1539,621,1934,691,1925,-526,565
-1043,426,634,-1093,890,-1039,1596,-472,479,-1206,731,2040
286,96,-613,997,-1032,135,1337,-760,856,1632,1743,-156
730,1122,1888,1111,1350,1868,2132,651,-876,1238,1207,1938
1928,1260,1513,1481,1276,466,-566,-838,1282,1619,440,-340
1714,1791,-41,1279,1996,1716,1854,929,-1098,-89,147,2009
-907,26,1633,-225,1150,1517,1914,1185,767,-790,-482,-713
121,1706,1685,1722,820,489,1995,443,1415,979,607,830
-581,1511,1110,1569,252,-1074,1434,1734,202,-1146,1637,1133
999,1557,-63,1061,718,417,1442,1685,1674,1494,1249,656
1517,1754,1593,1376,1860,382,-621,-802,840,1771,1491,1398
392,881,-136,-57,471,-258,1436,1381,-149,380,1660,766
762,1934,949,935,635,363,570,1889,-574,50,389,1932
817,1885,-1106,39,1856,221,-1075,698,1975,1502,523,693
350,1794,-709,16,-965,247,1598,1156,1861,1345,355,-1034
281,1852,-833,1279,266,-1153,309,1891,-842,-473,-266,-1044
189,-1135,767,1744,1342,1847,510,1493,1261,1563,-253,1734
1660,-220,-78,-1098,1740,1924,-281,1681,-1016,-270,1732,1912
-603,2,104,1504,1729,669,-1090,-36,1556,1865,1328,1948
1922,1078,299,-1157,1496,1772,1158,2005,1751,-570,1426,1991
476,2136,-740,-640,1698,1958,148,1019,1979,974,380,2186
200,932,1437,158,989,1237,796,706,1936,1799,1591,346
1447,869,1918,92,1891,449,712,1282,1962,1059,981,1802
610,1050,1582,1818,945,-31,1318,123,319,1997,572,713
375,192,206,1901,172,46,1276,1963,488,1502,1956,628
3,1110,966,64,667,-108,1790,997,447,853,130,1986
774,1099,-872,-394,847,1683,1113,-940,1384,-651,1192,1572
-810,613,1444,899,24,-296,1503,1547,26,135,944,1917
579,1502,1138,133,1664,1984,-234,1091,474,1885,231,559
1237,343,983,1728,1071,-154,-437,166,1531,1355,476,1881
193,541,329,205,1281,1013,117,374,1878,1040,1766,1449
1412,596,1557,-12,612,1868,8,-361,1608,1497,1750,-245
1375,963,1574,158,662,1229,1285,1941,754,1568,456,1529
-110,1753,-796,-477,1828,2333,1093,-920,713,2298,1287,2786
824,-1044,1728,1064,283,1944,-248,953,1448,1935,48,1844
755,877,-664,-324,1534,1701,34,-246,393,-738,211,1928
-52,632,-133,-316,1920,1450,-93,1636,900,-218,1391,-136
1094,-695,1961,523,996,605,97,1784,-383,410,1351,1784
254,-43,1994,1627,1884,1113,-1042,963,-61,-1063,1796,1668
271,1983,2043,981,941,310,863,113,553,-35,299,2092
1138,367,82,482,340,915,57,620,310,1490,458,920
1414,-107,69,1346,616,-359,383,-711,996,1525,1693,1523
1261,1801,1262,1745,-64,1992,134,1984,1104,-1020,1058,1910
1983,51,1564,1537,1166,1464,645,1819,1261,-350,1819,-74
1648,1365,1848,1854,-770,744,1887,1003,1955,1668,363,17
457,1897,1242,1802,836,-1034,1194,1475,-874,-496,582,1733
-857,1267,1027,1704,1871,637,1981,791,1917,594,-1144,291
1562,-684,1523,1565,1867,712,1689,1210,666,-1136,1343,1630
1506,1045,337,18,1696,946,1248,1730,-71,795,1011,1892
1171,-957,-1048,164,315,-910,1645,1773,1553,2094,765,2372
1448,1825,1677,1859,1990,965,1599,-471,2161,490,2111,528
1601,1303,1412,644,1841,698,890,-21,636,1951,802,1740
91,611,1523,1354,1971,915,905,1790,1124,-390,366,1109
428,1555,469,862,670,-996,-91,1777,1408,1417,1727,725
1426,-713,-820,-677,1803,1688,756,1598,1055,1730,812,1866
517,1876,1607,1207,257,1857,240,-1153,776,306,1296,-398
680,1894,810,1848,862,-247,675,-726,-647,81,-367,-106
442,949,170,1961,134,691,336,337,1212,1387,176,590
-117,-104,1839,831,1889,42,1316,6,1130,1812,668,915
-15,1318,1810,1011,508,1348,730,1079,1154,651,-71,256
1223,-873,743,1722,1823,1670,7,1507,1797,1489,81,1772
1692,-330,276,-93,493,531,735,1249,555,-22,208,-1133
396,1788,1802,1993,1166,676,1540,948,1616,-252,1158,1556
-608,1013,1312,-910,188,-598,686,1512,1538,-39,1992,1820
842,-1040,1899,1850,-12,-247,1782,1227,702,1974,1148,2040
1115,-943,-117,1044,1979,1344,-81,-107,-1041,236,1976,949
1205,-647,1194,1645,1561,1321,1723,1730,1947,202,1396,-223
1847,1909,1371,-1018,1612,-529,1239,-930,-133,-1168,1726,1666
809,759,1427,1518,229,1896,1868,189,887,1946,1937,1011
1973,647,448,1334,491,1535,1946,329,841,1732,412,1116
1449,2136,1023,2197,1354,2227,-624,-657,1585,-466,1520,-719
1823,-187,404,1960,1333,1843,1598,1676,1812,516,960,1897
389,-1157,1712,1863,-14,-1095,1738,1540,-1075,-297,196,1840
1535,1759,1805,1540,593,-946,874,1143,-16,-333,72,1957
326,218,218,959,271,1821,1221,53,1087,97,1704,1510
1661,560,-184,1649,451,-167,1752,1818,1215,-629,135,-1127
1618,359,-157,-911,1995,1764,1113,-805,1646,1028,1301,-823
610,721,126,1590,511,405,520,255,1590,1361,1197,1339
942,1795,1989,1705,410,-434,211,1864,1023,-159,-468,548
1242,1322,1044,1581,684,141,465,-427,504,69,333,944
-543,1722,1523,-1094,1578,-1135,1500,-1133,-1179,-317,1463,1694
55,407,334,474,1160,1443,121,90,1964,1943,368,1915
1924,360,857,-749,1791,972,1798,1312,315,1929,1860,742
-98,-350,771,378,128,1914,970,1987,848,2015,2031,272
1473,1818,833,360,-1131,653,59,1870,-326,694,156,1899
40,430,1856,1260,364,-175,-843,471,818,-867,1096,1623
648,-1093,1929,1227,952,2226,1553,-613,1949,1836,495,-1093
1377,614,1367,1977,-389,1635,526,-431,-290,887,492,1644
486,-29,1732,1172,1868,536,-595,1598,-482,1722,1239,1706
530,-275,1189,1570,283,905,-571,1539,153,450,1690,1053
648,2782,374,2939,591,3391,1179,3494,879,3619,924,186
482,1298,1125,1947,1852,849,1088,857,472,1651,58,-226
676,2207,927,1969,713,1215,57,1302,1395,-306,936,2262
1075,1552,1824,88,277,724,217,1995,1236,-866,-580,1516
964,-958,649,1806,1164,-1010,-633,-731,1742,813,1030,1974
137,1300,1568,1787,1348,1776,703,781,246,588,1136,1574
955,1373,1163,-549,847,-42,1626,23,-878,-250,463,-1109
316,-965,-202,1574,-817,-259,1128,669,328,1436,1354,1282
-650,-291,765,53,6,11,1250,1555,1901,245,1661,993
1344,-86,1352,385,1778,485,492,-434,1512,989,1208,-1036
157,1412,171,1721,1137,-435,1508,1673,1596,1414,1979,859
351,1791,-17,940,529,803,65,982,1618,-9,764,1434
1306,-792,1861,404,1314,1746,2075,311,1917,1639,-339,-991
449,815,239,-849,1332,78,547,1817,-340,541,1559,-551
864,2046,1773,1095,1485,1579,644,2050,1950,1136,1284,1885
835,-1065,1766,-35,163,1838,1776,1800,1363,1527,1940,-23
-214,33,873,1341,1471,835,467,-56,673,-1014,1733,1725
223,-907,-1011,184,1232,1719,689,1472,1742,476,836,-1026
539,-38,441,710,-556,1548,1688,1589,1412,2064,-412,-28
-1128,519,822,1674,967,2151,627,-878,1157,-843,-201,1729
1112,1910,-270,1750,541,1916,1540,1560,1992,720,206,1901
438,1859,107,1702,1436,1468,1756,-24,857,-1013,1181,1930
710,1880,1330,-162,1717,1160,1288,35,931,-982,-268,-878
-742,1313,-842,878,179,-1095,1961,1251,291,1067,1661,1618
1270,735,-286,1665,610,2127,1943,1898,494,-558,860,-2
556,-1133,-764,1325,649,-221,1949,501,-524,-865,670,-1103
757,-1070,1191,1699,1044,1871,146,1836,1209,1368,718,-679
1132,1821,1449,-443,868,1981,1158,1504,1828,395,538,1237
103,553,655,75,1032,811,401,683,118,1321,916,1020
1022,1900,1598,1236,638,-1127,319,9,1558,-51,1220,1902
1302,581,-793,-571,1782,1194,-318,149,497,1953,1824,152
1471,-698,79,-1058,1743,694,1008,-982,-1155,427,879,1267
-1130,44,1943,326,968,2065,-53,1911,1395,1823,-1159,280
1677,-418,1888,185,630,1373,810,241,1625,1532,1106,1698
1386,1946,1669,966,-833,362,1010,1559,2034,191,1224,1747
168,1095,1745,1468,1235,1027,1681,714,227,1913,716,940
